contaminante,valor
NO_2,0.42951558625334557
NO_3,0.3518007878346581
NO_4,0.26324920786883443
NO_5,0.19525051541741492
NO_6,0.1650770373958451
NO_7,0.1700113496673561
NO_8,0.19853260540477907
NO_9,0.2358405329398342
NO_10,0.26183168740336094
NO_11,0.2573277310366497
NO_12,0.2177381350602067
NO_13,0.15438594972414374
NO_14,0.08559551189796266
NO_15,0.024317011277541406
NO_16,-0.024823063030355863
NO_17,-0.05945986871043416
NO_18,-0.07552973449296131
NO_19,-0.0692462265690598
NO_20,-0.036081246227194774
NO_21,0.029934428718645878
NO_22,0.12767604552062023
NO_23,0.24230228325464376
NO_24,0.33680154272530843
NO_25,0.37319369360414406
NO_26,0.34483820820804906
NO_27,0.28232178292821464
NO_28,0.21313805434481523
NO_29,0.16155703161093912
NO_30,0.14127940158878113
NO_31,0.15132137321030717
NO_32,0.17954644651355067
NO_33,0.2108407584208485
NO_34,0.22786309936989907
NO_35,0.21485016980273436
NO_36,0.16981919377955726
NO_37,0.10747499028460762
NO_38,0.04395635183616757
NO_39,-0.011491523346606747
NO_40,-0.05607096022167262
NO_41,-0.08580157417419984
NO_42,-0.09684020984001734
NO_43,-0.08649182753612009
NO_44,-0.05150761721135249
NO_45,0.010743305280917215
NO_46,0.09822710616066824
NO_47,0.19749525590372655
NO_48,0.2790847041094639
NO_49,0.30966298990140845
NO_50,0.2879452226102135
NO_51,0.23813733811868665
NO_52,0.1833737082347701
NO_53,0.14430261368109554
NO_54,0.13196282584288352
NO_55,0.14431491747786218
NO_56,0.17007999178551525
NO_57,0.19660336239928092
NO_58,0.20834980924928417
NO_59,0.1922677347583465
NO_60,0.14806975364837827
NO_61,0.08762655643993751
NO_62,0.027216605874583685
NO_63,-0.02427694815268067
NO_64,-0.06509415813121769
NO_65,-0.0912562783522547
NO_66,-0.0989522164766339
NO_67,-0.08531324101342884
NO_68,-0.04656139168988137
NO_69,0.016269629948605615
NO_70,0.09966186499718915
NO_71,0.1914510120143046
NO_72,0.26538211910816123
NO2_1,0.5453792383753326
NO2_2,0.46259530390494635
NO2_3,0.3914070100940966
NO2_4,0.3499464240600463
NO2_5,0.3425982840275171
NO2_6,0.3660121983713691
NO2_7,0.4092810161156592
NO2_8,0.4569976837078996
NO2_9,0.493003625958405
NO2_10,0.5082733086355326
NO2_11,0.500632890732617
NO2_12,0.47063471250727607
NO2_13,0.4202457732330589
NO2_14,0.3572709422769226
NO2_15,0.29523575466351937
NO2_16,0.24702393577779239
NO2_17,0.21995964106567614
NO2_18,0.22125156244167182
NO2_19,0.25547982235187305
NO2_20,0.31445318130910793
NO2_21,0.38226250947874635
NO2_22,0.4344965657160774
NO2_23,0.45193848928810804
NO2_24,0.4279498059483782
NO2_25,0.38056311540189464
NO2_26,0.3194479229253544
NO2_27,0.2692705158590864
NO2_28,0.2431000127606089
NO2_29,0.24424011160378573
NO2_30,0.26987292497585724
NO2_31,0.31225683744917726
NO2_32,0.35701309162246014
NO2_33,0.3881150862350711
NO2_34,0.3975867092763795
NO2_35,0.38533689629200446
NO2_36,0.35218908462711
NO2_37,0.3036354858682896
NO2_38,0.24553044353379927
NO2_39,0.18944841187899555
NO2_40,0.14760090065952164
NO2_41,0.12709067391578258
NO2_42,0.13372838635173864
NO2_43,0.16720210171937328
NO2_44,0.22136499198343848
NO2_45,0.2801523213533779
NO2_46,0.32530842390707226
NO2_47,0.34029433170885925
NO2_48,0.3222127060094297
NO2_49,0.28587418743026216
NO2_50,0.24041793415715085
NO2_51,0.20319137209936314
NO2_52,0.1870118053618422
NO2_53,0.19457471824883962
NO2_54,0.22280853274189388
NO2_55,0.2628163071816428
NO2_56,0.3031034843890494
NO2_57,0.33137180284575773
NO2_58,0.33977504169997974
NO2_59,0.3279140348741609
NO2_60,0.2992970889692843
NO2_61,0.2563483104573588
NO2_62,0.20474646474200656
NO2_63,0.15565709784726897
NO2_64,0.1200113779265441
NO2_65,0.10520876648400392
NO2_66,0.11548975418847819
NO2_67,0.15016440287913815
NO2_68,0.20231605932439345
NO2_69,0.2566136242067464
NO2_70,0.2951234859130361
NO2_71,0.3064420942452156
NO2_72,0.28964423763629216
NOX_1,0.5516691124670362
NOX_2,0.4975681419946601
NOX_3,0.41162158160429757
NOX_4,0.3266562987379466
NOX_5,0.2694157215484137
NOX_6,0.25274342344465955
NOX_7,0.270872340065268
NOX_8,0.3094811253680637
NOX_9,0.3513537309107841
NOX_10,0.37731502726178234
NOX_11,0.3711982293691619
NOX_12,0.3294768116500762
NOX_13,0.26191548107765766
NOX_14,0.18585727308122657
NOX_15,0.11614264822415789
NOX_16,0.06076569510838402
NOX_17,0.02399579631272137
NOX_18,0.011459740098437438
NOX_19,0.02772446449861491
NOX_20,0.0737512434926503
NOX_21,0.14915498431000718
NOX_22,0.24504344204166123
NOX_23,0.34315912083775424
NOX_24,0.411496434022869
NOX_25,0.42533528411373467
NOX_26,0.3824849849622683
NOX_27,0.31565393879685827
NOX_28,0.25130565656858345
NOX_29,0.21007733544468668
NOX_30,0.202105240720015
NOX_31,0.22407417539600832
NOX_32,0.2614747986595047
NOX_33,0.2968818642824139
NOX_34,0.31371782243320095
NOX_35,0.29923408031463905
NOX_36,0.2520960730578593
NOX_37,0.1859494650381361
NOX_38,0.11572766664465702
NOX_39,0.05267092948414356
NOX_40,0.003043085616220442
NOX_41,-0.02762900493172793
NOX_42,-0.03435665687403745
NOX_43,-0.015048794907191807
NOX_44,0.030875609232349027
NOX_45,0.10028594431795076
NOX_46,0.185577443572363
NOX_47,0.27050491126371684
NOX_48,0.3303653682794939
