horas,UVA,UVB,PA,CO,NO,NO2,NOX,O3,PM25,PMCO,SO2,RH,TMP,WSP,WDR,PM10
17,-0.018731942571590453,-0.017475636347754467,0.031632710618407264,0.04695004268419942,-0.05945986871043416,0.21995964106567614,0.02399579631272137,0.2929135055383396,0.2679448221336085,0.38200054385154353,0.16053097098261426,-0.46274304383699394,0.1527030287254563,0.08013929846555808,-0.021402856244328042,0.3902433757095295
18,0.08864407257388804,0.10028587392549024,0.03875618086932084,0.04700037055099881,-0.07552973449296131,0.22125156244167182,0.011459740098437438,0.35008987147165527,0.3008541119524182,0.3846560698306614,0.15273470478040754,-0.5047308316526132,0.20175846005837722,0.08622012804414712,-0.0528799875306637,0.39542589459365146
19,0.17914389508369058,0.19810137837026023,0.04958068317397367,0.07494125927510308,-0.0692462265690598,0.25547982235187305,0.02772446449861491,0.37113684959753174,0.3434620323495086,0.40481084164801845,0.15236261144893842,-0.528852474739416,0.22795537203530986,0.08323699728318089,-0.09274304997912712,0.42122588701574565
20,0.236854665396111,0.25329898165614717,0.06195046243766168,0.12899624037899332,-0.036081246227194774,0.31445318130910793,0.0737512434926503,0.35690050441079213,0.3906507497245879,0.4435644297425047,0.1614299624946965,-0.5335996476622619,0.2298600386942806,0.07181588073665357,-0.13688847579826235,0.4674971843224633
21,0.2541807654507059,0.25711575927353364,0.07245003257315905,0.20710837847862096,0.029934428718645878,0.38226250947874635,0.14915498431000718,0.31433092414235475,0.4347258966954895,0.4973282340691225,0.1807715352768698,-0.5184665843875894,0.20818680784331572,0.049702080548730064,-0.17775952808367895,0.5286471619732364
22,0.2339633376115955,0.21824573065286226,0.07908250751493832,0.2989461879749223,0.12767604552062023,0.4344965657160774,0.24504344204166123,0.2560106055737462,0.4650146914798649,0.5550297881392552,0.20143050545503044,-0.48767319261340875,0.16740929584627798,0.020238113907617716,-0.2061723829691255,0.5914670314581769
23,0.18791664149132842,0.15780924182133593,0.08083968869413274,0.38521836331259807,0.24230228325464376,0.45193848928810804,0.34315912083775424,0.1975383033086581,0.47353910699145907,0.598178949588389,0.21764566921820416,-0.44630760461667335,0.11328884189234742,-0.016051171820528874,-0.21009115914127502,0.6375738417832479
24,0.13421388190269515,0.09914500640812239,0.07928040174518294,0.43310795552205555,0.33680154272530843,0.4279498059483782,0.411496434022869,0.15247485793004548,0.45596999351302,0.6034636715865299,0.22215834961692132,-0.40188610614077314,0.05400959754129719,-0.055690468720944984,-0.19010369650594441,0.6408103785175108
25,0.09145112727853005,0.059468848354877105,0.07485463231468688,0.4240427893923927,0.37319369360414406,0.38056311540189464,0.42533528411373467,0.12522239845523522,0.4316203696093759,0.5687841025176475,0.22078458560164924,-0.36225380310963556,0.004052773455194002,-0.09909129732510487,-0.16071457835224454,0.6051573477998506
26,0.06817081331377149,0.0449448795593101,0.07106499666759154,0.36054025763008934,0.34483820820804906,0.3194479229253544,0.3824849849622683,0.11159157060746466,0.3948141864673635,0.5003284124845048,0.21266384156285636,-0.3290448738876832,-0.03715576126939939,-0.14149821332680662,-0.13378209864431018,0.5352139599225119
27,0.06051106853077079,0.05042769112466658,0.07054881109716069,0.28086177590603817,0.28232178292821464,0.2692705158590864,0.31565393879685827,0.10037454262591558,0.36058415590036536,0.42521816112055394,0.20611219878546733,-0.3008964438284563,-0.0704632053459986,-0.17986560433720225,-0.11331980903552724,0.45993876485688995
28,0.058847149178413355,0.06233429001394864,0.07433837066631009,0.2102516654195183,0.21313805434481523,0.2431000127606089,0.25130565656858345,0.08295060333505504,0.33419666535949455,0.36028558935626376,0.20511198256033397,-0.2765744824423328,-0.09832956320491515,-0.212379343796885,-0.09364249304771227,0.39511246732193206
29,0.05248560239333612,0.06558056562046001,0.08213292922254917,0.16789155522418955,0.16155703161093912,0.24424011160378573,0.21007733544468668,0.053812247290655126,0.31638306258486953,0.3157127634754112,0.21107257393312234,-0.2535273667647583,-0.124009798277322,-0.2388395273777253,-0.07264736128770179,0.35149136279930443
30,0.032036075803450276,0.04854819484694889,0.09263068297436379,0.16230035405299148,0.14127940158878113,0.26987292497585724,0.202105240720015,0.011680470314067784,0.3043177450278305,0.2939675896627322,0.22206932424546788,-0.22959916061737018,-0.1509860743899184,-0.2579088973290317,-0.04849649500942117,0.33138608828512184
31,-0.005960846112721075,0.008634258998358624,0.10361943078322561,0.1873903560921411,0.15132137321030717,0.31225683744917726,0.22407417539600832,-0.04029721409641786,0.29441602251785287,0.2912889994326326,0.23219893610299464,-0.2045530128728305,-0.17994248861440235,-0.269011781445255,-0.023401897974050217,0.3304087862659192
32,-0.05994151085302545,-0.049357553729514156,0.11231164717595621,0.22845206825879585,0.17954644651355067,0.35701309162246014,0.2614747986595047,-0.09440303904561441,0.28097679597805225,0.2993690522704623,0.23621274285560603,-0.1801150363196294,-0.20835050822196444,-0.2664330975264898,0.0005212414827770746,0.3399737047573009
33,-0.12360774877520217,-0.11529570844154487,0.11570368404739664,0.26750768689367127,0.2108407584208485,0.3881150862350711,0.2968818642824139,-0.1407489173151169,0.2591702543290574,0.3101680075310788,0.23004873051535665,-0.15957527928640466,-0.23182925815249972,-0.24683133598696377,0.021114758495488488,0.3499466062920897
34,-0.1869823982103742,-0.17778462969236045,0.11238467516931826,0.2868606976424452,0.22786309936989907,0.3975867092763795,0.31371782243320095,-0.1689100463571717,0.23000940134466802,0.319551629121391,0.21400256657765926,-0.14910877662757696,-0.24371007484100746,-0.20747046774075178,0.033736974245435376,0.35541903036075806
35,-0.23986325207489254,-0.2281923995918724,0.10279510993180929,0.27362671806732985,0.21485016980273436,0.38533689629200446,0.29923408031463905,-0.17115367195774037,0.1974036566541932,0.32546232815035764,0.19235649182094391,-0.1544232914247963,-0.2369782172537296,-0.15033804608244633,0.03922587990147762,0.3531950802669669
36,-0.2728557464247938,-0.26024330528988127,0.08852515120462708,0.22826848093005656,0.16981919377955726,0.35218908462711,0.2520960730578593,-0.14355473322620038,0.16590447807950984,0.32838660602043385,0.1711022385122798,-0.1782916924146503,-0.20714953909834638,-0.08090410321744419,0.04000190736718754,0.34465548291432785
37,-0.2789943155987806,-0.2691611903848042,0.07162204634661266,0.16618435895307881,0.10747499028460762,0.3036354858682896,0.1859494650381361,-0.0862084580043842,0.1421157430629706,0.3300193817911252,0.15284015810611534,-0.22123636798299232,-0.15383958317163915,-0.01085778288060732,0.03932666325026436,0.33443209153680825
38,-0.25286362741728036,-0.24871804159717678,0.05597044884362183,0.10245650340288026,0.04395635183616757,0.24553044353379927,0.11572766664465702,-0.0036733094842281207,0.12888721910355844,0.32846829629615315,0.13793244334176005,-0.277995053231244,-0.08290501295395288,0.04930603910203871,0.03828260556362969,0.32296486648706657
39,-0.19448428118892197,-0.19526834532300003,0.04425587651757806,0.04845357496197516,-0.011491523346606747,0.18944841187899555,0.05267092948414356,0.09227103277536089,0.12839355988169296,0.3231405431144928,0.1260684101439535,-0.34059467719369946,-0.004197314570967604,0.09278101332249028,0.033842213520364865,0.3099096087005924
40,-0.1085563886620144,-0.10942806152033525,0.03883391743241147,0.010050054638548757,-0.05607096022167262,0.14760090065952164,0.003043085616220442,0.1861223437225463,0.13994970841382712,0.31543726208256595,0.1168871458890568,-0.4013607830871258,0.07202062243963989,0.11926446615509224,0.01997038048959562,0.2977299344748535
41,-0.006132877486629882,-0.0012796391051086843,0.03999514219857269,-0.008121048752554585,-0.08580157417419984,0.12709067391578258,-0.02762900493172793,0.26413273955486677,0.16317722285607858,0.31158003932706296,0.10981816347883373,-0.4536832370723052,0.13658381071347414,0.1325943752415179,-0.0011205288336635084,0.2936828211127991
42,0.09597502687165087,0.10952213117376189,0.04665899379074494,-0.0027334003210843015,-0.09684020984001734,0.13372838635173864,-0.03435665687403745,0.31442084329735936,0.19680857988511063,0.31789990570517235,0.10702872595183764,-0.4917088409845244,0.18198194024205816,0.1358070087987065,-0.030619970397985505,0.303086149664877
43,0.18025814373509888,0.19947139307254055,0.057306221623502906,0.02620376793978744,-0.08649182753612009,0.16720210171937328,-0.015048794907191807,0.33156849583964954,0.2366385874133686,0.33712507901771827,0.10928023687983715,-0.5120879075696724,0.2048935266786024,0.1298722357477401,-0.06861835613620068,0.32782500029917516
44,0.23259494925137197,0.24820925570685523,0.06871932911506318,0.07857528648069867,-0.05150761721135249,0.22136499198343848,0.030875609232349027,0.31731236624320003,0.279157373394344,0.37033746413725155,0.118346283118726,-0.5126363551524961,0.20407977722550902,0.1153957403274452,-0.10622443514530304,0.36913741162331415
45,0.24635121803063645,0.24853569496692385,0.07893700237502722,0.14872815132450048,0.010743305280917215,0.2801523213533779,0.10028594431795076,0.2787872980749698,0.3169682042938185,0.4126959896275797,0.13514763256380227,-0.49493499131658747,0.18138190407721225,0.09220826427636176,-0.13830110576269847,0.4194899600723379
46,0.22529226246898684,0.20976231262989173,0.0848827012145622,0.22904017470619875,0.09822710616066824,0.32530842390707226,0.185577443572363,0.22699378161848044,0.3422192083833686,0.4572284584437423,0.1535680592554861,-0.46318869486346054,0.14109875814585926,0.06057698273804074,-0.15895023789408774,0.4699409242504678
47,0.18105182110007292,0.151701896453177,0.08625412671891627,0.30307356920880946,0.19749525590372655,0.34029433170885925,0.27050491126371684,0.174754997549241,0.3490964046601076,0.48841569106242405,0.16680828387895963,-0.42202258742320553,0.08910008605987706,0.023029180385785566,-0.1614578345189163,0.5044594189273375
48,0.13096595612360865,0.09704979355618064,0.0847568693570207,0.3454834040593727,0.2790847041094639,0.3222127060094297,0.3303653682794939,0.13307140448212648,0.33798509088823936,0.4917808237604912,0.1726978392876825,-0.3781856937996827,0.03316199960694111,-0.01603466759708697,-0.1450675632259059,0.5077116474816623
49,0.09131269241410996,0.06105851238897873,0.08072800736675217,0.33816030971790145,0.30966298990140845,0.28587418743026216,0.343137025240447,0.10618125654509368,0.3202467144864257,0.4633747238051492,0.1715773298820665,-0.3384328686895642,-0.01628537485964161,-0.05724535851478001,-0.12243344446263915,0.47824509322855785
50,0.06858148166947611,0.047816649489276976,0.07726762726130375,0.2880278274153334,0.2879452226102135,0.24041793415715085,0.31076367512780395,0.09016901164638033,0.29647467326762644,0.4101170063117593,0.16771285395384883,-0.30490847175933633,-0.05695589575316462,-0.09775179091779407,-0.10163909341119377,0.42488600257670084
51,0.05890141962800786,0.05134547797855102,0.07667166592665005,0.2240605913081354,0.23813733811868665,0.20319137209936314,0.25842524261179994,0.0758765398586683,0.2732195956503565,0.3508837502814286,0.1649394849167604,-0.276097933429278,-0.09088482952079655,-0.1358346357719772,-0.08263587366581267,0.3662919644698053
52,0.053082201794369364,0.058455345638793905,0.08034113516203945,0.16830791322675565,0.1833737082347701,0.1870118053618422,0.20896460580262943,0.05523075015537906,0.2560312049496471,0.29950637550530096,0.16655357141200877,-0.25085297961097747,-0.11977877123528435,-0.16918756359926018,-0.06424840344784011,0.31653597316902343
53,0.04186012208938343,0.05588256238861542,0.08802083984122687,0.13776437915367462,0.14430261368109554,0.19457471824883962,0.17991917673964097,0.023804952560518,0.24443738232482562,0.2644942762668867,0.1709208112795723,-0.2273246453571281,-0.14640427555496754,-0.19709712107774457,-0.045755382949911105,0.2834994046684817
54,0.018351219319452605,0.035481605499675564,0.09842257031825828,0.1388236795670914,0.13196282584288352,0.22280853274189388,0.1791958506468032,-0.019580199208636084,0.23561155329804315,0.24764853512267712,0.17866242130940777,-0.20313698835764224,-0.17400821198718033,-0.21795325772138122,-0.02630574034435431,0.2694998089729981
