	fecha	contaminante	medicion
173	2015-01-02 19:00:00	O3_y.2	27.0
174	2015-01-02 19:00:00	O3_x	21.0
175	2015-01-02 19:00:00	RH_2_x	43.0
176	2015-01-02 19:00:00	O3_y.1	27.0
177	2015-01-02 19:00:00	TMP_x	16.133333333333336
178	2015-01-02 19:00:00	TMP_2_y	16.6
179	2015-01-02 19:00:00	O3_y.3	27.0
180	2015-01-02 20:00:00	RH_2_x	46.75
181	2015-01-02 20:00:00	TMP_2_y	17.3
182	2015-01-02 20:00:00	O3_y.1	19.0
183	2015-01-02 20:00:00	O3	8.0
184	2015-01-02 20:00:00	O3_y.2	19.0
185	2015-01-02 20:00:00	O3_y	19.0
186	2015-01-02 20:00:00	TMP_x	15.725
187	2015-01-02 20:00:00	O3_y.3	19.0
188	2015-01-02 20:00:00	O3_x	11.25
189	2015-01-02 21:00:00	O3_y.3	10.0
190	2015-01-02 21:00:00	RH_2_x	51.75
191	2015-01-02 21:00:00	O3_y.2	10.0
192	2015-01-02 21:00:00	O3	3.0
193	2015-01-02 21:00:00	O3_x	5.75
194	2015-01-02 21:00:00	O3_y.1	10.0
195	2015-01-02 21:00:00	TMP_2_y	16.1
196	2015-01-02 21:00:00	TMP_x	14.625
197	2015-01-02 21:00:00	O3_y	10.0
198	2015-01-02 22:00:00	O3_y.2	11.0
199	2015-01-02 22:00:00	O3	2.0
200	2015-01-02 22:00:00	O3_x	4.75
201	2015-01-02 22:00:00	O3_y.3	11.0
202	2015-01-02 22:00:00	O3_y.1	11.0
203	2015-01-02 22:00:00	RH_2_x	54.25
204	2015-01-02 22:00:00	TMP_2_y	15.6
205	2015-01-02 22:00:00	O3_y	11.0
206	2015-01-02 22:00:00	TMP_x	13.925
207	2015-01-02 23:00:00	O3	1.0
208	2015-01-02 23:00:00	O3_y.2	5.0
209	2015-01-02 23:00:00	TMP_2_y	14.9
210	2015-01-02 23:00:00	O3_y	5.0
211	2015-01-02 23:00:00	O3_x	3.25
212	2015-01-02 23:00:00	O3_y.3	5.0
213	2015-01-02 23:00:00	O3_y.1	5.0
214	2015-01-02 23:00:00	TMP_x	13.275
215	2015-01-02 23:00:00	RH_2_x	57.5
216	2015-01-03 00:00:00	O3	1.0
217	2015-01-03 00:00:00	TMP_x	12.575
218	2015-01-03 00:00:00	RH_2_x	66.5
219	2015-01-03 00:00:00	O3_y	3.0
220	2015-01-03 00:00:00	TMP_2_y	14.3
221	2015-01-03 00:00:00	O3_x	1.75
222	2015-01-03 00:00:00	O3_y.1	3.0
223	2015-01-03 00:00:00	O3_y.3	3.0
224	2015-01-03 00:00:00	O3_y.2	3.0
225	2015-01-03 01:00:00	O3_y.1	6.0
226	2015-01-03 01:00:00	O3_y.2	6.0
227	2015-01-03 01:00:00	TMP_2_y	14.5
228	2015-01-03 01:00:00	O3_y	6.0
229	2015-01-03 01:00:00	O3	2.0
230	2015-01-03 01:00:00	RH_2_x	60.5
231	2015-01-03 01:00:00	TMP_x	12.375
232	2015-01-03 01:00:00	O3_y.3	6.0
233	2015-01-03 01:00:00	O3_x	3.75
234	2015-01-03 02:00:00	O3_y.3	8.0
235	2015-01-03 02:00:00	TMP_x	11.75
236	2015-01-03 02:00:00	O3	2.0
237	2015-01-03 02:00:00	O3_x	3.75
238	2015-01-03 02:00:00	TMP_2_y	13.9
239	2015-01-03 02:00:00	O3_y.2	8.0
240	2015-01-03 02:00:00	RH_2_x	64.25
241	2015-01-03 02:00:00	O3_y.1	8.0
242	2015-01-03 02:00:00	O3_y	8.0
243	2015-01-03 03:00:00	TMP_2_y	13.2
244	2015-01-03 03:00:00	O3_y.3	11.0
245	2015-01-03 03:00:00	O3	3.0
246	2015-01-03 03:00:00	O3_y.1	11.0
247	2015-01-03 03:00:00	O3_y	11.0
248	2015-01-03 03:00:00	RH_2_x	67.5
249	2015-01-03 03:00:00	O3_y.2	11.0
250	2015-01-03 03:00:00	TMP_x	11.349999999999998
251	2015-01-03 03:00:00	O3_x	6.5
252	2015-01-03 04:00:00	O3_y.1	9.0
253	2015-01-03 04:00:00	TMP_x	10.575
254	2015-01-03 04:00:00	O3_y.2	9.0
255	2015-01-03 04:00:00	O3	3.0
256	2015-01-03 04:00:00	O3_y	9.0
257	2015-01-03 04:00:00	O3_x	5.75
258	2015-01-03 04:00:00	RH_2_x	68.5
259	2015-01-03 04:00:00	O3_y.3	9.0
260	2015-01-03 04:00:00	TMP_2_y	12.8
261	2015-01-03 05:00:00	O3_x	10.25
262	2015-01-03 05:00:00	RH_2_x	69.0
263	2015-01-03 05:00:00	O3_y.3	13.0
264	2015-01-03 05:00:00	O3_y	13.0
265	2015-01-03 05:00:00	O3_y.1	13.0
266	2015-01-03 05:00:00	TMP_2_y	12.7
267	2015-01-03 05:00:00	O3_y.2	13.0
268	2015-01-03 05:00:00	TMP_x	10.874999999999998
269	2015-01-03 05:00:00	O3	5.0
270	2015-01-03 06:00:00	TMP_x	10.375
271	2015-01-03 06:00:00	O3_y	17.0
272	2015-01-03 06:00:00	O3_y.1	17.0
273	2015-01-03 06:00:00	RH_2_x	72.5
274	2015-01-03 06:00:00	O3	1.0
275	2015-01-03 06:00:00	O3_y.2	17.0
276	2015-01-03 06:00:00	TMP_2_y	12.6
277	2015-01-03 06:00:00	O3_y.3	17.0
278	2015-01-03 06:00:00	O3_x	7.5
279	2015-01-03 07:00:00	O3_y.2	4.0
280	2015-01-03 07:00:00	RH_2_x	75.25
281	2015-01-03 07:00:00	TMP_2_y	12.1
282	2015-01-03 07:00:00	O3_y.3	4.0
283	2015-01-03 07:00:00	TMP_x	9.825
284	2015-01-03 07:00:00	O3	0.0
285	2015-01-03 07:00:00	O3_y	4.0
286	2015-01-03 07:00:00	O3_x	2.25
287	2015-01-03 07:00:00	O3_y.1	4.0
288	2015-01-03 08:00:00	RH_2_x	71.0
289	2015-01-03 08:00:00	TMP_2_y	13.7
290	2015-01-03 08:00:00	TMP_x	9.575
291	2015-01-03 08:00:00	O3_y.2	5.0
292	2015-01-03 08:00:00	O3_y.3	5.0
293	2015-01-03 08:00:00	O3_x	2.5
294	2015-01-03 08:00:00	O3	1.0
295	2015-01-03 08:00:00	O3_y.1	5.0
296	2015-01-03 08:00:00	O3_y	5.0
297	2015-01-03 09:00:00	O3_y.2	10.0
298	2015-01-03 09:00:00	TMP_x	11.650000000000002
299	2015-01-03 09:00:00	O3	4.0
300	2015-01-03 09:00:00	TMP_2_y	16.7
301	2015-01-03 09:00:00	RH_2_x	61.5
302	2015-01-03 09:00:00	O3_y	10.0
