	fecha	O3_prediccion	medicion
140	2015-01-02 11:00:00	O3forecast_3	32.0
141	2015-01-02 11:00:00	O3forecast_5	15.0
142	2015-01-02 11:00:00	O3forecast_4	15.0
143	2015-01-02 11:00:00	O3forecast_11	6.0
144	2015-01-02 12:00:00	O3forecast_7	32.0
145	2015-01-02 12:00:00	O3forecast_4	32.0
146	2015-01-02 12:00:00	O3forecast_6	32.0
147	2015-01-02 12:00:00	O3forecast_11	15.0
148	2015-01-02 12:00:00	O3forecast_3	39.0
149	2015-01-02 12:00:00	O3forecast_5	32.0
150	2015-01-02 12:00:00	O3forecast_1	39.0
151	2015-01-02 12:00:00	O3forecast_9	15.0
152	2015-01-02 12:00:00	O3forecast_10	15.0
153	2015-01-02 12:00:00	O3forecast_8	15.0
154	2015-01-02 12:00:00	O3forecast_12	6.0
155	2015-01-02 12:00:00	O3forecast_2	39.0
156	2015-01-02 13:00:00	O3forecast_2	41.0
157	2015-01-02 13:00:00	O3forecast_9	32.0
158	2015-01-02 13:00:00	O3forecast_10	32.0
159	2015-01-02 13:00:00	O3forecast_8	32.0
160	2015-01-02 13:00:00	O3forecast_7	39.0
161	2015-01-02 13:00:00	O3forecast_1	41.0
162	2015-01-02 13:00:00	O3forecast_11	32.0
163	2015-01-02 13:00:00	O3forecast_4	39.0
164	2015-01-02 13:00:00	O3forecast_6	39.0
165	2015-01-02 13:00:00	O3forecast_12	15.0
166	2015-01-02 13:00:00	O3forecast_5	39.0
167	2015-01-02 13:00:00	O3forecast_3	41.0
168	2015-01-02 14:00:00	O3forecast_10	39.0
169	2015-01-02 14:00:00	O3forecast_12	32.0
170	2015-01-02 14:00:00	O3forecast_2	42.0
171	2015-01-02 14:00:00	O3forecast_5	41.0
172	2015-01-02 14:00:00	O3forecast_6	41.0
173	2015-01-02 14:00:00	O3forecast_11	23.0
174	2015-01-02 14:00:00	O3forecast_3	39.0
175	2015-01-02 14:00:00	O3forecast_7	33.0
176	2015-01-02 14:00:00	O3forecast_4	41.0
177	2015-01-02 14:00:00	O3forecast_8	39.0
178	2015-01-02 14:00:00	O3forecast_9	39.0
179	2015-01-02 14:00:00	O3forecast_1	42.0
180	2015-01-02 15:00:00	O3forecast_1	43.0
181	2015-01-02 15:00:00	O3forecast_6	42.0
182	2015-01-02 15:00:00	O3forecast_9	41.0
183	2015-01-02 15:00:00	O3forecast_5	42.0
184	2015-01-02 15:00:00	O3forecast_3	43.0
185	2015-01-02 15:00:00	O3forecast_11	39.0
186	2015-01-02 15:00:00	O3forecast_2	43.0
187	2015-01-02 15:00:00	O3forecast_12	39.0
188	2015-01-02 15:00:00	O3forecast_10	41.0
189	2015-01-02 15:00:00	O3forecast_8	41.0
190	2015-01-02 15:00:00	O3forecast_4	42.0
191	2015-01-02 15:00:00	O3forecast_7	41.0
192	2015-01-02 16:00:00	O3forecast_5	43.0
193	2015-01-02 16:00:00	O3forecast_10	42.0
194	2015-01-02 16:00:00	O3forecast_9	42.0
195	2015-01-02 16:00:00	O3forecast_12	41.0
196	2015-01-02 16:00:00	O3forecast_2	41.0
197	2015-01-02 16:00:00	O3forecast_4	43.0
198	2015-01-02 16:00:00	O3forecast_11	41.0
199	2015-01-02 16:00:00	O3forecast_1	41.0
200	2015-01-02 16:00:00	O3forecast_6	43.0
201	2015-01-02 16:00:00	O3forecast_7	43.0
202	2015-01-02 16:00:00	O3forecast_3	41.0
203	2015-01-02 16:00:00	O3forecast_8	42.0
204	2015-01-02 17:00:00	O3forecast_10	43.0
205	2015-01-02 17:00:00	O3forecast_11	43.0
206	2015-01-02 17:00:00	O3forecast_9	43.0
207	2015-01-02 17:00:00	O3forecast_8	43.0
208	2015-01-02 17:00:00	O3forecast_3	42.0
209	2015-01-02 17:00:00	O3forecast_4	42.0
210	2015-01-02 17:00:00	O3forecast_12	42.0
211	2015-01-02 17:00:00	O3forecast_1	42.0
212	2015-01-02 17:00:00	O3forecast_2	42.0
213	2015-01-02 17:00:00	O3forecast_6	41.0
214	2015-01-02 17:00:00	O3forecast_5	41.0
215	2015-01-02 17:00:00	O3forecast_7	41.0
216	2015-01-02 18:00:00	O3forecast_9	41.0
217	2015-01-02 18:00:00	O3forecast_3	36.0
218	2015-01-02 18:00:00	O3forecast_8	41.0
219	2015-01-02 18:00:00	O3forecast_12	43.0
220	2015-01-02 18:00:00	O3forecast_4	42.0
221	2015-01-02 18:00:00	O3forecast_2	36.0
222	2015-01-02 18:00:00	O3forecast_10	41.0
223	2015-01-02 18:00:00	O3forecast_11	39.0
224	2015-01-02 18:00:00	O3forecast_1	36.0
225	2015-01-02 18:00:00	O3forecast_6	42.0
226	2015-01-02 18:00:00	O3forecast_7	42.0
227	2015-01-02 18:00:00	O3forecast_5	42.0
228	2015-01-02 19:00:00	O3forecast_6	36.0
229	2015-01-02 19:00:00	O3forecast_2	29.0
230	2015-01-02 19:00:00	O3forecast_8	42.0
231	2015-01-02 19:00:00	O3forecast_4	36.0
232	2015-01-02 19:00:00	O3forecast_9	42.0
233	2015-01-02 19:00:00	O3forecast_10	42.0
234	2015-01-02 19:00:00	O3forecast_7	42.0
235	2015-01-02 19:00:00	O3forecast_1	29.0
236	2015-01-02 19:00:00	O3forecast_5	36.0
237	2015-01-02 19:00:00	O3forecast_11	41.0
238	2015-01-02 19:00:00	O3forecast_12	41.0
239	2015-01-02 19:00:00	O3forecast_3	36.0
240	2015-01-02 20:00:00	O3forecast_12	42.0
241	2015-01-02 20:00:00	O3forecast_9	36.0
242	2015-01-02 20:00:00	O3forecast_2	19.0
243	2015-01-02 20:00:00	O3forecast_4	29.0
244	2015-01-02 20:00:00	O3forecast_10	42.0
245	2015-01-02 20:00:00	O3forecast_3	27.0
246	2015-01-02 20:00:00	O3forecast_8	36.0
247	2015-01-02 20:00:00	O3forecast_6	36.0
248	2015-01-02 20:00:00	O3forecast_11	42.0
249	2015-01-02 20:00:00	O3forecast_1	19.0
250	2015-01-02 20:00:00	O3forecast_7	36.0
251	2015-01-02 20:00:00	O3forecast_5	29.0
252	2015-01-02 21:00:00	O3forecast_6	19.0
253	2015-01-02 21:00:00	O3forecast_11	36.0
254	2015-01-02 21:00:00	O3forecast_4	19.0
255	2015-01-02 21:00:00	O3forecast_7	27.0
256	2015-01-02 21:00:00	O3forecast_12	36.0
257	2015-01-02 21:00:00	O3forecast_3	10.0
258	2015-01-02 21:00:00	O3forecast_2	10.0
