contaminante,valor,horas
NO,0.13729946991215777,67.0
NO,0.13665651127769915,68.0
NO,0.13622738332632037,69.0
NO,0.13564790253889297,70.0
NO,0.13510522395534294,71.0
NO,0.13489967991732943,72.0
NO2,0.4645085943402027,1.0
NO2,0.4733108722787624,2.0
NO2,0.4808641291466745,3.0
NO2,0.4871152334041334,4.0
NO2,0.492658881663996,5.0
NO2,0.49769060166355017,6.0
NO2,0.5020959651156718,7.0
NO2,0.506157932926828,8.0
NO2,0.5099165252787486,9.0
NO2,0.5133209318772569,10.0
NO2,0.5162597298489148,11.0
NO2,0.5187836418431985,12.0
NO2,0.5204988976905948,13.0
NO2,0.5212278948772756,14.0
NO2,0.5208470103719539,15.0
NO2,0.5193385557254466,16.0
NO2,0.5166804643083821,17.0
NO2,0.5130373038135615,18.0
NO2,0.5083179869276998,19.0
NO2,0.5024458922492016,20.0
NO2,0.4951259897209075,21.0
NO2,0.4863960753611865,22.0
NO2,0.47620370498034637,23.0
NO2,0.4650251942547422,24.0
NO2,0.4542726225658166,25.0
NO2,0.4445438159062677,26.0
NO2,0.43577117717569824,27.0
NO2,0.4277089816477755,28.0
NO2,0.41985805809228705,29.0
NO2,0.4123050897331862,30.0
NO2,0.40485606179634503,31.0
NO2,0.39754198803520774,32.0
NO2,0.3901322345863169,33.0
NO2,0.383056801243593,34.0
NO2,0.37582435524039315,35.0
NO2,0.36854744551701807,36.0
NO2,0.36127459865269,37.0
NO2,0.3538847157672192,38.0
NO2,0.34647124499539816,39.0
NO2,0.33936275192115717,40.0
NO2,0.33233634578546717,41.0
NO2,0.32563921670413276,42.0
NO2,0.31897999330832716,43.0
NO2,0.3124293433910787,44.0
NO2,0.306107518002364,45.0
NO2,0.3000001524870843,46.0
NO2,0.29454058017403073,47.0
NO2,0.2894664115944562,48.0
NO2,0.2846862265163562,49.0
NO2,0.2806702970309646,50.0
NO2,0.27734312609166994,51.0
NO2,0.27457645047642837,52.0
NO2,0.2722789628741568,53.0
NO2,0.27018499935116286,54.0
NO2,0.2682163185273411,55.0
NO2,0.26646481707250014,56.0
NO2,0.265073350368685,57.0
NO2,0.2638830669278359,58.0
NO2,0.2624041300520532,59.0
NO2,0.26090638923699266,60.0
NO2,0.2591259462403142,61.0
NO2,0.25721377915567306,62.0
NO2,0.2554322053704591,63.0
NO2,0.2537776215351429,64.0
NO2,0.25216987529079127,65.0
NO2,0.2506831341275754,66.0
NO2,0.24918704753021378,67.0
NO2,0.24761936401113518,68.0
NO2,0.24593462992860723,69.0
NO2,0.24458753190365867,70.0
NO2,0.24339886946774134,71.0
NO2,0.2423084927223065,72.0
NOX,0.27523435347136244,1.0
NOX,0.2815185551629789,2.0
NOX,0.286568703663894,3.0
NOX,0.2906012044170461,4.0
NOX,0.2942000354473805,5.0
NOX,0.2977943125059844,6.0
NOX,0.30109230864093983,7.0
NOX,0.3035667583315031,8.0
NOX,0.3056953550940422,9.0
NOX,0.3073628662949083,10.0
NOX,0.308824082076568,11.0
NOX,0.31005435099206613,12.0
NOX,0.31105035413748316,13.0
NOX,0.31176978029268276,14.0
NOX,0.3122151647072861,15.0
NOX,0.3118759746543151,16.0
