contaminante,valor,horas
NO,0.47694827551208197,31.0
NO,0.5121616364769596,32.0
NO,0.47886914680052284,33.0
NO,0.3958641866802196,34.0
NO,0.2896546057242239,35.0
NO,0.1860660468422011,36.0
NO,0.09815066480202289,37.0
NO,0.029477696191704317,38.0
NO,-0.02198720558205465,39.0
NO,-0.06090285721086686,40.0
NO,-0.0973364736213817,41.0
NO,-0.1378700932103402,42.0
NO,-0.1854806753637837,43.0
NO,-0.23811865750562256,44.0
NO,-0.2904514767018388,45.0
NO,-0.3361618979615485,46.0
NO,-0.36642091458712195,47.0
NO,-0.3678345492341146,48.0
NO,-0.32738710195869225,49.0
NO,-0.23875969550773152,50.0
NO,-0.10979413600670503,51.0
NO,0.04828132571814187,52.0
NO,0.21528051769078327,53.0
NO,0.3631688412535759,54.0
NO,0.4627831691848113,55.0
NO,0.4962253388643483,56.0
NO,0.4638379729165564,57.0
NO,0.3826504580383364,58.0
NO,0.2789284008592687,59.0
NO,0.17765628712070242,60.0
NO,0.09142021172687056,61.0
NO,0.024701688774559735,62.0
NO,-0.025676741863609014,63.0
NO,-0.06533050507402258,64.0
NO,-0.1025872847402782,65.0
NO,-0.14379534606696884,66.0
NO,-0.1903776385895551,67.0
NO,-0.24141140641388303,68.0
NO,-0.2922526385908633,69.0
NO,-0.337821622264836,70.0
NO,-0.3680125158565931,71.0
NO,-0.3700304421285913,72.0
NO2,0.016293500565567966,1.0
NO2,0.11297027605706265,2.0
NO2,0.21499176694004865,3.0
NO2,0.2969854242795369,4.0
NO2,0.34077278435814856,5.0
NO2,0.3399865901886941,6.0
NO2,0.3004416111869349,7.0
NO2,0.23890758408219964,8.0
NO2,0.17777143332155743,9.0
NO2,0.13102681809785555,10.0
NO2,0.10395560613800907,11.0
NO2,0.10020059017104639,12.0
NO2,0.11815827390308783,13.0
NO2,0.1503603978665089,14.0
NO2,0.18290146337934857,15.0
NO2,0.20035984168735346,16.0
NO2,0.19575359307460513,17.0
NO2,0.16801418790463726,18.0
NO2,0.11631328281855201,19.0
NO2,0.047366211476122404,20.0
NO2,-0.0259226459497102,21.0
NO2,-0.08471059827758634,22.0
NO2,-0.10964448615922116,23.0
NO2,-0.09031345540710504,24.0
NO2,-0.026842326600486435,25.0
NO2,0.06612656545807094,26.0
NO2,0.16521097654975492,27.0
NO2,0.24597815307496723,28.0
NO2,0.292227958404022,29.0
NO2,0.29497929738318984,30.0
NO2,0.2584792266552175,31.0
NO2,0.19945947726770744,32.0
NO2,0.13785661071252692,33.0
NO2,0.0896500282311248,34.0
NO2,0.06153186456389084,35.0
NO2,0.05661555792406296,36.0
NO2,0.07380615370001253,37.0
NO2,0.10555676560279002,38.0
NO2,0.13749806556098593,39.0
NO2,0.15559979263005388,40.0
