,contaminante,valor,horas
185,NO2,0.17603016214764733,27
186,NO2,0.16435183770274187,28
187,NO2,0.1858407046625384,29
188,NO2,0.16853403627985702,30
189,NO2,0.18550629507570296,31
190,NO2,0.17089194321617546,32
191,NO2,0.1832928059928272,33
192,NO2,0.1871065281786523,34
193,NO2,0.16964419961586152,35
194,NO2,0.16507176983790528,36
195,NO2,0.1741710606908067,37
196,NO2,0.1701188365749018,38
197,NO2,0.1673591563302953,39
198,NO2,0.15020749484252371,40
199,NO2,0.16187168022863885,41
201,NO2,0.1515703197405808,43
231,NOX,-0.2718933984714115,1
232,NOX,-0.289769410339013,2
233,NOX,-0.2735150588229028,3
234,NOX,-0.2608501843479121,4
235,NOX,-0.24459167243636096,5
236,NOX,-0.2241357121496989,6
237,NOX,-0.19728471508267484,7
238,NOX,-0.17433413179980134,8
251,NOX,0.15176946712039366,21
252,NOX,0.1900797223150958,22
253,NOX,0.2065809023524633,23
254,NOX,0.20003688953763354,24
255,NOX,0.23433840120692725,25
256,NOX,0.25737734310563376,26
257,NOX,0.2661607008734762,27
258,NOX,0.2710241127964628,28
259,NOX,0.29706884891892954,29
260,NOX,0.2880585207021283,30
261,NOX,0.31440934153933936,31
262,NOX,0.3096961451000465,32
263,NOX,0.3274516538102381,33
264,NOX,0.3310441694161449,34
265,NOX,0.31831822505940194,35
266,NOX,0.3260238257487732,36
267,NOX,0.3350669134416868,37
268,NOX,0.33177510927878057,38
269,NOX,0.3301613540221882,39
270,NOX,0.3176214920898369,40
271,NOX,0.3284100524202713,41
272,NOX,0.30618384843081325,42
273,NOX,0.3159838794375226,43
274,NOX,0.30293614458225904,44
275,NOX,0.2911502883072684,45
276,NOX,0.2933846404313452,46
277,NOX,0.2840725069308623,47
278,NOX,0.2646063381293549,48
279,NOX,0.26154596197861496,49
280,NOX,0.2507017201443562,50
281,NOX,0.2445278431346458,51
282,NOX,0.2290735194725384,52
283,NOX,0.22272641651357852,53
284,NOX,0.20902585420390302,54
285,NOX,0.2004082220428114,55
286,NOX,0.18305000215231204,56
287,NOX,0.1824736710685198,57
288,NOX,0.16751278762260646,58
289,NOX,0.15378586884854564,59
303,O3,0.8509672795498563,1
304,O3,0.8459971647770164,2
305,O3,0.8395406184757686,3
306,O3,0.8359596112568517,4
307,O3,0.8322242213860679,5
308,O3,0.8139938722091703,6
309,O3,0.7847238154397876,7
310,O3,0.7571214552804769,8
311,O3,0.7166954519504453,9
312,O3,0.6992599564345682,10
313,O3,0.654270213913588,11
314,O3,0.6450661287833831,12
315,O3,0.5886436233924853,13
316,O3,0.5696821751524621,14
317,O3,0.5349375693664548,15
318,O3,0.5002536950241651,16
319,O3,0.4511096283247917,17
320,O3,0.43155447301936056,18
321,O3,0.3821883034633246,19
322,O3,0.3624113076837872,20
323,O3,0.32685485081221904,21
324,O3,0.2796265930268049,22
325,O3,0.2478627415813429,23
326,O3,0.23584966920252595,24
327,O3,0.19144770139584544,25
328,O3,0.15364259320969714,26
342,O3,-0.15285855134609824,40
343,O3,-0.1767706102505717,41
344,O3,-0.1807054136313893,42
345,O3,-0.2040217699109825,43
346,O3,-0.21219034773257445,44
347,O3,-0.219806445986224,45
348,O3,-0.23544015803292195,46
349,O3,-0.243576706877462,47
350,O3,-0.24480943673497346,48
351,O3,-0.2568230870077838,49
352,O3,-0.2641951070940007,50
353,O3,-0.2716740559438234,51
354,O3,-0.27661263519026336,52
355,O3,-0.2827342235757582,53
356,O3,-0.2836480518179811,54
357,O3,-0.2890744597166932,55
358,O3,-0.28773586378673804,56
359,O3,-0.2972432359349878,57
360,O3,-0.298116142897575,58
361,O3,-0.2976879139357784,59
362,O3,-0.294285863591039,60
363,O3,-0.3010923562056321,61
364,O3,-0.3008645321020485,62
365,O3,-0.2971029837111384,63
366,O3,-0.2960084622633654,64
367,O3,-0.29460705685506644,65
368,O3,-0.29165528140603875,66
369,O3,-0.2912596781340609,67
370,O3,-0.2868394740665414,68
371,O3,-0.2844061008296672,69
372,O3,-0.2767881096962875,70
373,O3,-0.2758460752063413,71
374,O3,-0.2660927751850834,72
375,PM10,0.1847765353324152,1
378,PM10,0.15374887809555693,4
379,PM10,0.16104739905899662,5
380,PM10,0.18219631880617584,6
381,PM10,0.19720929182548527,7
382,PM10,0.20699112957971,8
383,PM10,0.2248172910052241,9
384,PM10,0.2187344085578896,10
385,PM10,0.2447258508783681,11
386,PM10,0.231961071173018,12
387,PM10,0.2633358758342489,13
388,PM10,0.2515092132410776,14
389,PM10,0.2630643668636398,15
390,PM10,0.2756057709273557,16
391,PM10,0.2897775367483353,17
392,PM10,0.26981204569624745,18
393,PM10,0.2907851501295139,19
394,PM10,0.2743653046205449,20
395,PM10,0.2838184213301744,21
396,PM10,0.30061588388737004,22
397,PM10,0.2882568350835934,23
398,PM10,0.2673145406733776,24
399,PM10,0.2901235280038236,25
400,PM10,0.28853716092922804,26
401,PM10,0.27419602656285913,27
402,PM10,0.2627303195535421,28
403,PM10,0.2712923394342401,29
404,PM10,0.2502190465043273,30
405,PM10,0.2659923013473394,31
406,PM10,0.24230915705677936,32
407,PM10,0.24300164732056245,33
408,PM10,0.2296363958400894,34
409,PM10,0.21063956055505176,35
410,PM10,0.21627263593868606,36
411,PM10,0.2126586626420736,37
412,PM10,0.19477609236590324,38
413,PM10,0.18217997417854664,39
414,PM10,0.1665733290219832,40
415,PM10,0.17381110878080222,41
417,PM10,0.15323629216249768,43
447,PM2.5,0.2028053917231865,1
448,PM2.5,0.1926396369002455,2
449,PM2.5,0.2032990263982052,3
450,PM2.5,0.2187914773843423,4
451,PM2.5,0.2312922422468995,5
452,PM2.5,0.2475672605312669,6
453,PM2.5,0.2603948115699291,7
454,PM2.5,0.26972239683306226,8
455,PM2.5,0.28840820180396914,9
456,PM2.5,0.28631682897068106,10
457,PM2.5,0.3050429214221691,11
458,PM2.5,0.2999731387516729,12
459,PM2.5,0.3189532066963937,13
460,PM2.5,0.31483227371721645,14
461,PM2.5,0.3231959670152701,15
462,PM2.5,0.3292624792564899,16
463,PM2.5,0.3368822937010867,17
464,PM2.5,0.32688202110887,18
465,PM2.5,0.3385766554852753,19
466,PM2.5,0.3282766481101672,20
467,PM2.5,0.32884898346638186,21
468,PM2.5,0.3371815386776864,22
469,PM2.5,0.33388822317824324,23
470,PM2.5,0.3167773148026934,24
