,contaminante,valor,horas
110,NO,0.17171433280548654,24
116,NO,0.16598238376161173,30
118,NO,0.15047818443037045,32
121,NO,0.15895070188655488,35
126,NO,0.15105102462093933,40
128,NO,0.1602467824318083,42
131,NO,0.1529724203701537,45
146,NO,0.1519137221661902,60
159,NO2,0.26658296116483005,1
160,NO2,0.26441645044393375,2
161,NO2,0.28683799666194515,3
162,NO2,0.2814737679274442,4
163,NO2,0.28790465533154985,5
164,NO2,0.28368982456605824,6
165,NO2,0.2745862217992094,7
166,NO2,0.30178733522812956,8
167,NO2,0.2647377434049882,9
168,NO2,0.3048197442125503,10
169,NO2,0.2523886658737642,11
170,NO2,0.3162527793880022,12
171,NO2,0.2605285284248198,13
172,NO2,0.2702977706332982,14
173,NO2,0.2895360810557968,15
174,NO2,0.2918793640962618,16
175,NO2,0.25694092978631833,17
176,NO2,0.3060356125873125,18
177,NO2,0.24214522224806068,19
178,NO2,0.28118802152790784,20
179,NO2,0.3022515949247538,21
180,NO2,0.26989030481755705,22
181,NO2,0.23290804605914375,23
182,NO2,0.2971413006930363,24
183,NO2,0.2871832056427637,25
184,NO2,0.2557684808803857,26
185,NO2,0.26008829484940077,27
186,NO2,0.2888526047660959,28
187,NO2,0.24116537822086967,29
188,NO2,0.2921262855103031,30
189,NO2,0.2438079695372277,31
190,NO2,0.28222719836763,32
191,NO2,0.2653924206324992,33
192,NO2,0.23697555666115175,34
193,NO2,0.2701523522642752,35
194,NO2,0.28006345268517485,36
195,NO2,0.253161056153566,37
196,NO2,0.25188204281490306,38
197,NO2,0.24570342359182432,39
198,NO2,0.2780527452246295,40
199,NO2,0.23235510416838787,41
200,NO2,0.2787196961986321,42
201,NO2,0.24060363801619564,43
202,NO2,0.24252657185270823,44
203,NO2,0.2696848743875903,45
204,NO2,0.24762208351184672,46
205,NO2,0.228905906405031,47
206,NO2,0.26105575312351387,48
207,NO2,0.24206006581807435,49
208,NO2,0.24865941792490864,50
209,NO2,0.2392375186601918,51
210,NO2,0.24726044502917796,52
211,NO2,0.23484169447656822,53
212,NO2,0.24040034052497886,54
213,NO2,0.22665561222581693,55
214,NO2,0.24960374497025203,56
215,NO2,0.2367556365406885,57
216,NO2,0.22307232629335197,58
217,NO2,0.2177607745054215,59
218,NO2,0.25223557831362015,60
219,NO2,0.22255051648469654,61
220,NO2,0.2165607288964021,62
221,NO2,0.2248663883688899,63
222,NO2,0.22171404950171322,64
223,NO2,0.21503704784102468,65
224,NO2,0.22639110562618775,66
225,NO2,0.21247358806491012,67
226,NO2,0.21135745696379638,68
227,NO2,0.2061510155622269,69
228,NO2,0.21558379610018452,70
229,NO2,0.1970161880560524,71
230,NO2,0.2162439805515023,72
232,NOX,0.16776987175160207,2
233,NOX,0.18491173259969998,3
234,NOX,0.1809547186554695,4
235,NOX,0.192799515712224,5
236,NOX,0.19049650163397694,6
237,NOX,0.1854201567850072,7
238,NOX,0.20528819548910002,8
239,NOX,0.17261417743709734,9
240,NOX,0.21484826397280257,10
241,NOX,0.16286974592815084,11
242,NOX,0.23146832452205726,12
243,NOX,0.16547203990567882,13
244,NOX,0.19541396685607776,14
245,NOX,0.21041257042829822,15
246,NOX,0.20322519170121217,16
247,NOX,0.17578868559105165,17
248,NOX,0.22319150955762812,18
249,NOX,0.16176587976530146,19
250,NOX,0.21534255313254785,20
251,NOX,0.22198315315145992,21
252,NOX,0.18116764762348037,22
253,NOX,0.162854494711775,23
254,NOX,0.23541252955361605,24
255,NOX,0.20750016661522336,25
256,NOX,0.17507457761050763,26
257,NOX,0.19263318037727165,27
258,NOX,0.21283921993446323,28
259,NOX,0.17156933412809292,29
260,NOX,0.2291301979060622,30
261,NOX,0.17191390357042047,31
262,NOX,0.21351822692559683,32
263,NOX,0.18359171752948963,33
264,NOX,0.17031727129816274,34
265,NOX,0.216331268318487,35
266,NOX,0.20788422816657498,36
267,NOX,0.1826912259466657,37
268,NOX,0.18560187436357845,38
269,NOX,0.1814628056806681,39
270,NOX,0.21255389319016754,40
271,NOX,0.16948804206698442,41
272,NOX,0.22018110688131512,42
273,NOX,0.16970306360818121,43
274,NOX,0.1863518329093151,44
275,NOX,0.21142864256129157,45
276,NOX,0.17895063924376783,46
277,NOX,0.17116832032590776,47
278,NOX,0.20570237777179232,48
279,NOX,0.18528316625011035,49
280,NOX,0.19280410309156476,50
281,NOX,0.18068017284605903,51
282,NOX,0.18984041056702272,52
283,NOX,0.17824006759155056,53
284,NOX,0.18841925470817658,54
285,NOX,0.17822072283988394,55
286,NOX,0.20214444372082027,56
287,NOX,0.1783292438072545,57
288,NOX,0.1699316127019641,58
289,NOX,0.1774783375156822,59
290,NOX,0.20480102423551805,60
291,NOX,0.17191822706243642,61
292,NOX,0.1725195053200479,62
293,NOX,0.17925760271284336,63
294,NOX,0.17959293824932884,64
295,NOX,0.1751614620869051,65
296,NOX,0.1845530896979469,66
297,NOX,0.16910092352079806,67
298,NOX,0.16825001473592222,68
299,NOX,0.1703161207105599,69
300,NOX,0.1787109297087845,70
301,NOX,0.15849048294548773,71
302,NOX,0.18082305547558727,72
375,PM10,0.29773606771354283,1
376,PM10,0.3556587052350423,2
377,PM10,0.3753590345014059,3
378,PM10,0.3789700861764258,4
379,PM10,0.4233574431949235,5
380,PM10,0.42285610371191235,6
